;NoDur;Durbl;Manuf;Enrgy;Chems;BusEq;Telcm;Utils;Shops;Hlth;Money;Other
19260701;0.37;-0.19;-0.15;0.58;-0.36;-0.07;-0.05;0.01;-0.06;1.43;0.90;0.31
19260702;-0.04;1.00;0.67;0.47;0.79;-0.38;0.29;0.55;-0.17;0.08;0.58;-0.44
19260706;0.00;0.35;0.06;-0.04;0.80;0.22;0.03;0.56;0.12;0.51;0.16;0.17
19260707;-0.30;-0.09;0.17;-0.34;0.41;0.64;-0.26;0.06;-0.79;0.55;-0.97;-0.05
19260708;0.92;0.27;0.79;0.52;0.12;0.53;0.87;0.03;-0.11;0.66;-0.38;-0.04
19260709;-0.21;-0.94;-0.78;-0.61;-0.93;-0.08;0.95;-0.56;0.21;-0.58;0.08;-0.03
19260710;0.41;0.36;0.83;0.59;-0.03;0.74;-0.20;0.41;-0.42;-0.23;0.43;0.34
19260712;-0.06;0.56;0.21;-1.24;-0.64;0.29;-0.37;0.26;0.83;0.26;-0.62;0.19
19260713;0.45;1.22;0.23;0.10;0.62;0.75;0.36;0.58;0.38;0.83;0.94;0.36
19260714;-0.21;-0.05;0.22;-0.75;0.87;0.34;-0.83;0.51;0.22;0.11;0.21;-0.15
19260715;0.01;-0.27;0.43;-0.05;-0.75;-1.15;0.68;-0.47;-0.17;0.13;-0.83;-0.35
19260716;0.23;1.13;0.28;1.51;-0.07;0.13;0.11;0.54;0.42;0.20;0.14;-0.02
19260717;0.30;0.37;0.18;0.06;1.07;0.93;-0.45;0.11;0.57;0.08;-0.42;0.47
19260719;-0.14;0.22;0.71;-0.24;0.49;0.45;0.00;0.27;0.10;-1.20;-0.32;-0.65
19260720;-0.43;-0.79;-1.10;-0.27;-0.71;-1.60;-0.18;0.03;-1.08;-0.21;-0.20;-0.22
19260721;-0.26;-0.94;-0.06;-1.70;-0.75;-1.09;-0.23;-0.51;0.12;-0.57;-0.27;-0.10
19260722;-0.70;-1.05;-0.39;-0.50;-1.13;-1.38;-0.15;-0.69;-1.42;-1.27;0.31;-1.26
19260723;-0.08;-0.61;-0.11;0.30;-0.34;0.18;-0.31;0.20;0.58;1.96;0.09;0.33
